Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.
2002-01-22,4.83,4.84,,
2002-02-19,4.63,4.62,,
2002-03-19,4.76,4.76,,
2002-04-16,4.92,4.85,,
2002-05-21,4.44,4.42,,
2002-06-18,4.34,4.54,,
2002-07-16,4.83,4.7,,
2002-08-20,5.27,5.22,,
2002-09-17,5.54,5.53,,
2002-10-22,8.03,8.07,,
2002-11-19,11.01,10.74,,
2002-12-17,12.49,12.17,,
2003-01-21,11.58,11.08,,
2003-02-18,10.71,10.47,,
2003-03-18,9.72,9.65,,
2003-04-22,9.06,8.92,,
2003-05-20,8.27,8.34,,
2003-06-17,7.71,7.76,,
2003-07-22,6.64,6.86,,
2003-08-19,6.34,6.38,,
2003-09-16,6.46,6.35,,
2003-10-21,6.17,6.13,,
2003-11-18,5.98,6.01,,
2003-12-16,5.88,5.89,,
2004-01-20,6.0,5.88,,
2004-02-17,5.69,5.61,,
2004-03-16,5.41,5.33,,
2004-04-13,5.49,5.49,,
2004-05-18,5.67,5.67,,
2004-06-15,6.03,6.02,,
2004-07-20,6.28,6.12,,
2004-08-17,6.22,6.2,,
2004-09-14,6.19,6.17,,
2004-10-19,6.17,6.17,,
2004-11-16,6.22,6.16,,
2004-12-14,5.97,5.93,,
2005-01-18,5.7,5.66,,
2005-02-15,5.57,5.58,,
2005-03-15,5.5,5.46,,
2005-04-19,5.59,5.49,,
2005-05-17,5.44,5.39,,
2005-06-14,5.07,5.08,,
2005-07-19,4.94,5.01,,
2005-08-16,4.9,4.95,,
2005-09-13,4.8,4.8,,
2005-10-18,4.73,4.68,,
2005-11-22,4.63,4.64,,
2005-12-13,4.51,4.48,,
2006-01-17,4.59,4.58,,
2006-03-07,4.41,4.41,,
2006-04-18,4.18,4.2,,
2006-05-30,4.15,4.2,,
2006-07-18,4.33,4.4,,
2006-08-29,4.41,4.5,,
2006-10-17,4.06,4.07,,
2006-11-28,4.18,4.18,,
2007-01-23,4.07,4.03,,
2007-03-06,3.8,3.81,,
2007-04-17,3.62,3.62,,
2007-06-05,3.37,3.4,,
2007-07-17,3.5,3.54,,
2007-09-04,3.87,3.72,,
2007-10-16,3.82,3.83,,
2007-12-04,3.95,3.96,,
2008-01-22,4.41,4.35,,
2008-03-04,4.3,4.25,,
2008-04-15,4.42,4.38,,
2008-06-03,5.02,4.76,,
2008-07-22,5.48,5.36,,
2008-09-09,5.23,5.24,,
2008-10-28,5.3,5.27,,
2008-12-09,5.23,5.3,,
2009-01-20,4.74,4.78,,
2009-03-10,4.51,4.44,,
2009-04-28,4.23,4.16,,
2009-06-09,4.1,4.04,,
2009-07-21,4.13,4.14,,
2009-09-01,3.98,4.08,,
2009-10-20,4.28,4.32,,
2009-12-08,4.35,4.4,,
2010-01-26,4.65,4.51,,
2010-03-16,4.57,4.56,,
2010-04-27,4.85,4.74,,
2010-06-08,4.89,4.71,,
2010-07-20,4.8,4.92,,
2010-08-31,4.9,5.02,,
2010-10-19,5.29,5.18,,
2010-12-07,5.73,5.36,,
2011-01-18,5.5,5.47,,
2011-03-01,5.55,5.35,,
2011-04-19,5.6,5.42,,
2011-06-07,5.03,5.04,,
2011-07-19,5.34,5.4,,
2011-08-30,5.44,5.47,,
2011-10-18,5.66,5.64,,
2011-11-29,5.6,5.58,,
2012-01-17,5.3,5.34,,
2012-03-06,5.28,5.34,,
2012-04-17,5.48,5.45,,
2012-05-29,5.54,5.5,,
2012-07-10,5.53,5.54,,
2012-08-28,5.68,5.63,,
2012-10-09,5.5,5.5,,
2012-11-27,5.33,5.37,,
2013-01-15,5.58,5.55,,
2013-03-05,5.43,5.62,,
2013-04-16,5.44,5.45,,
2013-05-28,5.59,5.67,,
2013-07-09,5.64,5.67,,
2013-08-27,6.02,6.1,,
2013-10-08,6.2,6.25,,
2013-11-26,6.18,6.11,,
2014-01-14,6.01,5.99,,
2014-02-25,6.12,6.12,,
2014-04-01,6.32,6.09,,
2014-05-27,6.01,6.01,,
2014-07-15,5.94,5.96,,
2014-09-02,6.17,6.23,,
2014-10-28,6.38,6.37,,
2014-12-02,6.59,6.59,,
2015-01-20,6.77,6.61,,
2015-03-03,6.93,6.47,,
2015-04-28,6.13,5.97,,
2015-06-02,6.12,5.97,,
2015-07-28,5.98,5.71,,
2015-09-01,5.63,5.65,,
2015-10-20,6.63,6.53,,
2015-11-24,7.27,7.12,,
2016-01-19,7.09,6.91,,
2016-03-01,7.06,6.7,,
2016-04-26,6.19,6.21,,
2016-06-07,6.25,5.89,,
2016-07-19,5.79,5.71,,
2016-08-30,5.42,5.28,,
2016-10-18,5.0,5.02,,
2016-11-29,4.8,4.9,,
2017-01-10,4.7,4.83,,
2017-02-21,4.52,4.55,,
2017-04-11,4.6,4.59,,
2017-05-30,4.69,4.58,,
2017-07-25,4.43,4.44,,
2017-09-05,4.39,4.17,,
2017-10-24,4.09,4.0,,
2017-12-05,3.97,3.95,,
2018-02-06,3.94,4.04,,
2018-03-20,3.93,3.99,,
2018-05-15,4.21,4.21,,
2018-06-19,4.59,4.3,,
2018-07-31,3.72,3.67,,
2018-09-18,3.93,3.94,,
2018-10-30,4.02,3.9,,
2018-12-11,3.76,3.8,,
2019-02-05,3.93,4.0,,
2019-03-19,4.01,3.97,,
2019-05-07,3.78,3.56,,
2019-06-18,3.51,3.56,,
2019-07-30,3.69,3.67,,
2019-09-17,3.37,3.44,,
2019-10-29,3.4,3.59,,
2019-12-10,3.92,3.87,,
2020-02-04,3.4,3.42,,
2020-03-17,3.47,3.52,,
2020-05-05,2.39,2.9,,
2020-06-16,3.24,3.25,,
2020-08-04,3.12,2.92,,
2020-09-15,3.15,3.13,,
2020-10-27,3.85,3.54,,
2020-12-08,4.06,4.04,,
2021-01-19,3.45,3.45,,
2021-03-16,4.33,4.21,,
2021-05-04,4.0735,4.0366,3.515,3.5318
2021-06-15,4.3484,4.272,3.6177,3.6144
2021-08-03,4.9028,4.4157,3.6803,3.6202
2021-09-21,5.1851,4.8298,3.7422,3.6695
2021-10-26,5.2293,4.9904,3.804,3.7892
2021-12-07,5.8992,5.2717,3.7217,3.6135
2022-02-01,5.4174,5.2806,3.4971,3.4883
2022-03-15,5.8053,5.7052,3.6416,3.625
2022-05-03,5.9432,5.4909,3.8447,3.828
2022-06-14,5.9315,5.883,4.0213,3.9935
2022-08-02,4.8022,5.6148,4.1458,4.0316
2022-09-20,4.9862,5.159,3.892,3.9032
2022-10-25,5.1284,5.1413,3.7931,3.7807
2022-12-06,5.4167,5.266,3.8232,3.7163
2023-01-31,5.7593,5.6638,3.934,3.9424
2023-03-21,5.5557,5.3806,4.115,4.1277
2023-05-02,5.324,5.2277,4.1559,4.1815
2023-06-20,4.084,4.1885,3.9388,3.9373
2023-08-01,4.0728,4.1381,3.7368,3.7228
2023-09-19,4.0942,4.0692,3.6697,3.653
2023-10-31,3.8865,3.9282,3.674,3.6534
2023-12-12,3.8997,3.903,3.6108,3.6108
2024-01-30,3.8128,3.8154,3.5255,3.5874
2024-03-19,3.427,3.4463,3.5933,3.601
2024-05-07,3.6161,3.5954,3.6389,3.5891
2024-06-18,3.6208,3.5933,3.7224,3.7165
2024-07-30,3.8135,3.711,3.7283,3.7155
2024-09-17,4.1121,4.0373,3.7561,3.7003
2024-11-05,4.2692,4.065,3.7996,3.739
2024-12-10,4.652,4.6555,3.988,3.9738
2025-01-28,5.5094,5.7031,4.2186,4.2301
2025-03-18,5.2417,5.1872,4.4088,4.4693
2025-05-06,4.9577,4.9558,4.4481,4.3384
2025-06-17,4.7179,4.707,4.358,4.3904
2025-07-29,4.5189,4.4373,4.1979,4.1846
2025-09-16,4.4526,4.3964,4.1141,4.1504
2025-11-04,3.9377,4.0744,3.8999,3.877
2025-12-09,3.9963,4.0629,3.8316,3.8238
